Id,Claw_length_cm,Size_cm,Tail_length_cm,Weight_kg,Specie,Sub_specie,Sub_specie_category,Endangered
0,6.825,52.004,4.448,3.57,three_toed,Pygmy three-toed sloth,5,critically_endangered
1,8.26,50.082,6.286,2.844,three_toed,Pygmy three-toed sloth,5,critically_endangered
2,8.662,51.498,4.551,1.259,three_toed,Pygmy three-toed sloth,5,critically_endangered
3,8.467,50.122,6.983,2.392,three_toed,Pygmy three-toed sloth,5,critically_endangered
4,7.104,51.364,5.411,3.163,three_toed,Pygmy three-toed sloth,5,critically_endangered
5,7.268,50.54,3.672,3.305,three_toed,Pygmy three-toed sloth,5,critically_endangered
6,7.195,49.662,4.179,2.854,three_toed,Pygmy three-toed sloth,5,critically_endangered
7,7.455,50.99,3.418,3.861,three_toed,Pygmy three-toed sloth,5,critically_endangered
8,6.773,48.389,6.601,4.492,three_toed,Pygmy three-toed sloth,5,critically_endangered
9,8.16,49.495,4.058,0.964,three_toed,Pygmy three-toed sloth,5,critically_endangered
10,7.43,49.652,4.446,2.551,three_toed,Pygmy three-toed sloth,5,critically_endangered
11,7.31,50.094,6.853,5.494,three_toed,Pygmy three-toed sloth,5,critically_endangered
12,8.885,49.511,6.179,3.066,three_toed,Pygmy three-toed sloth,5,critically_endangered
13,7.041,50.774,6.346,2.897,three_toed,Pygmy three-toed sloth,5,critically_endangered
14,8.341,49.116,5.527,2.444,three_toed,Pygmy three-toed sloth,5,critically_endangered
15,8.372,51.097,4.803,2.837,three_toed,Pygmy three-toed sloth,5,critically_endangered
16,7.825,51.339,4.516,3.732,three_toed,Pygmy three-toed sloth,5,critically_endangered
17,6.261,50.176,5.499,1.759,three_toed,Pygmy three-toed sloth,5,critically_endangered
18,5.262,49.417,5.13,1.417,three_toed,Pygmy three-toed sloth,5,critically_endangered
19,8.271,51.06,6.174,2.575,three_toed,Pygmy three-toed sloth,5,critically_endangered
20,7.291,50.201,6.148,3.39,three_toed,Pygmy three-toed sloth,5,critically_endangered
21,7.734,48.931,5.629,4.526,three_toed,Pygmy three-toed sloth,5,critically_endangered
22,8.147,50.052,5.087,1.976,three_toed,Pygmy three-toed sloth,5,critically_endangered
23,8.447,51.47,6.214,1.916,three_toed,Pygmy three-toed sloth,5,critically_endangered
24,9.378,50.913,6.37,4.569,three_toed,Pygmy three-toed sloth,5,critically_endangered
25,7.144,49.755,5.164,2.752,three_toed,Pygmy three-toed sloth,5,critically_endangered
26,8.998,50.374,5.086,2.919,three_toed,Pygmy three-toed sloth,5,critically_endangered
27,8.647,50.638,3.75,2.976,three_toed,Pygmy three-toed sloth,5,critically_endangered
28,7.114,50.213,5.428,2.329,three_toed,Pygmy three-toed sloth,5,critically_endangered
29,6.663,51.189,7.206,2.128,three_toed,Pygmy three-toed sloth,5,critically_endangered
30,7.618,48.803,5.526,2.495,three_toed,Pygmy three-toed sloth,5,critically_endangered
31,7.845,47.737,4.12,1.96,three_toed,Pygmy three-toed sloth,5,critically_endangered
32,7.967,50.587,7.134,1.383,three_toed,Pygmy three-toed sloth,5,critically_endangered
33,6.981,51.205,6.137,2.349,three_toed,Pygmy three-toed sloth,5,critically_endangered
34,6.26,49.816,6.376,2.717,three_toed,Pygmy three-toed sloth,5,critically_endangered
35,7.569,51.233,6.04,2.858,three_toed,Pygmy three-toed sloth,5,critically_endangered
36,6.033,49.401,6.049,2.842,three_toed,Pygmy three-toed sloth,5,critically_endangered
37,8.829,50.425,4.835,1.55,three_toed,Pygmy three-toed sloth,5,critically_endangered
38,8.62,50.771,4.727,4.363,three_toed,Pygmy three-toed sloth,5,critically_endangered
